ترتیب,لغت,معنی,تلفظ,مثال,دسته
1,number,عدد,,,
2,cook,غداپختن,کوُک,,
3,page,صفحه,,,
4,material,جنس/ماده,,,
5,colour,رنگ,,,
6,improve,بهبود دادن,,,
7,completely,کاملا,,,
8,straight,راست(درست)/مستقیم,اِستِرِیت,راه مستقیم,
9,paper,کاغذ,,,
10,possibility,امکان,,,
11,control,کنترل کردن/نظارت کردن,,,
12,battle,جنگ,,,
13,organization,سازماندهی/سازمان,,,
14,jury,هیت داوران,جوری,هیت داوران، جوری,
15,thanks,تشکر,,,
16,voice,صدا,,,
17,football,فوتبال,,,
18,dish,ظرف,,,
19,following,پیروی / ذیل ( پایین),,,
20,national,ملی,نَش نال,inetnational,
21,balance,تعادل,بَلِنس,,
22,eat,خوردن,,,
23,truth,صدات / راستی,تُروث,از فامیلای true,
24,data,داده,,,
25,united,متحد,,United States of America,
26,chance,شانس,,,
27,concept,مفهوم,,,
28,fee,هزینه / دستمزد,فی,فی در فاکتور ها ,
29,breast,-------,,,
30,share,به اشتراک گذاشتن / سهم,,,
31,element,عنصر ,,,
32,aid,کمک / کمک کردن,عید,,
33,immediately,بی درنگ ، فورا,,,
34,decade,دهه,دِ کِید,,
35,chain,زنجیر,,بلاک چین,
36,long,بلند,,,
37,plant,گیاه,,plants vs zombies,
38,system,سیستم,,,
39,title,عنوان,,,
40,city,شهر,,,
41,easy,آسان,,,
42,employee,کارمند,ایم پِلویی,,
43,criminal,جنایی,کِر می نال,,
44,repeat,تکرار کردن,,,
45,health,سلامت ، تندرستی,,,
46,similar,شبیه,,,
47,define,تعریف کردن,,,
48,money,پول,,,
49,chicken,مرغ,,,
50,aim,هدف / هدف گیری کردن,عیم,,
51,sister,خواهر,,,
52,watch,تماشا کردن(فعل) ، پاییدن ، ساعت مچی,,,
53,guide,راهنما ، راهنمایی کردن,,,
54,score,امتیاز,  اِسکور,,
55,crowd,جمیعت ، ازدحام,کِرآود,,
56,crisis,بحران ، مرحله بحرانی,,,
57,blow,فوت کردن ، دمیدن,بِلوع,,
58,hole,سوراخ,هول,,
59,break,شکستن,,,
60,check,چک,,,
61,judge,قاضی,جاج,,
62,seem,به نظر رسیدن,سیم,,
63,tell,گفتن,,,
64,general,عمومی,,,
65,usually,به طور معمول,,,
66,stay,ماندن / توقف کردن,,stay at home,
67,map,نقشه,,,
68,oppose,مخالفت کردن,آپوزِ,oppose it of,
69,salt,نمک,,,
70,largely,به مقدار زیاد,,,
71,golden,طلایی,,,
72,wide,عریض,,,
73,fight,دعوا,,,
74,surprise,غافلگیر کردن,,,
75,core,هسته,,,
76,interview,مصاحبه / مصاحبه کردن,,,
77,week,هفته,,,
78,need,نیاز / نیاز داشتن,,,
79,ancient,باستانی,اِی شِنت,,
80,child,بچه,,,
81,context,فحوای کلام (‌محتوا، مغز کلام),,,
82,novel,رمان,نا وِل,,
83,late,دیر,,,
84,major,اکبر / بزرگ,مِی جِر,,
85,charge,پر کردن / پول گرفتن,,,
86,business,کسب و کار,,,
87,season,فصل ,,,
88,trust,اعتماد,,,
89,generally,به طور عمومی,,,
90,neck,گردن,,,
91,motion,حرکت,,,
92,enough,کافی,,,
93,may,امکان داشتن ,,,
94,classroom,کلاس درس,,,
95,arm,بازو,آرم,,
96,opening,باز کردن (گشایش) / افتتاح,,,
97,shift,تغییر جهت / شیفت (نوبت کاری),,,
98,court,دادگاه / زمین (محوطه),,football court,
99,figure,شکل ,,,
100,secret,راز,,,
101,quiet,ساکت,,,
102,attract,جذب کردن,,,
103,economic,اقتصادی / به صرفه,,,
104,little,مقدار کم / کوچک,,,
105,fund,سرمایه,,,
106,scientist,دانشمند,ساین تیست,,
107,board,تخته,,,
108,session,جلسه,سِ شِن,,
109,fast,سریع,,,
110,zone,ناحیه ( منطقه) / بخش,,,
111,domestic,اهلی,,,
112,sound,صدا,,,
113,hot,داغ,,,
114,democratic,دموکراتیک (مردمی),,,
115,deliver,تحویل دادن,,دلیوری,
116,piece,تکه,پیس,,
117,vehicle,وسیله نقلیه,ویِ کول,,
118,mountain,کوه,ماُ تِین,,
119,address,آدرس,,,
120,institution,موسسه,اینست تی تیو شن,,
121,catch,گرفتن,کَج,,
122,class,کلاس ,,,
123,give,دادن,,,
124,warm,گرم,,,
125,water,آب,,,
126,reading,خواندن,,,
127,man,مرد,,,
128,apparently,ظاهرا (به ظاهر) / بدون تردید,آپِرنتلی,,
129,down,پایین,,,
130,limited,محدود,,,
131,involve,درگیر کردن / شامل شدن,این ولو,,
132,soul,روح,,,
133,count,شمردن,,,
134,status,وضیعت,,,
135,training,تربیت (پرورش) / ورزش کردن,,,
136,spring,بهار,اِسپیرین,,
137,train,قطار,,,
138,site,مکان (جا) / محل,,,
139,tiny,ریز,,,
140,southern,جنوبی,سادِن,,
141,carry,حمل کردن,,,
142,ought,بایدوشاید (باید),مثل out,,
143,declare,اعلان کردن / اظهار کردن,دِک لِیر,,
144,location,موقعیت / مکان,,,
145,angry,عصبانی,,,
146,emerge,پدیدار شدن / بیرون امدن,اِمِرج,,
147,upper,بالایی,,,
148,responsibility,مسئولیت / پاسخ گو بودن,,,
149,conversation,گفت و گو,,,
150,direct,هدایت کردن ,,,
151,politician,سیاست مدار,پآ لی تی شن,,
152,produce,تولید کردن,,,
153,politics,علم سیاست,پآلی تیکس,,
154,british,اهل بریتانیا ( بریتانیایی),,,
155,telephone,تلفن,,,
156,bridge,پل,,,
157,sport,ورزش,,,
158,effective,موثر,,,
159,cheap,ارزان,چِیپ,,
160,vegteable,سبزیجات,,,
161,wine,مشروب,وآ ین,,
162,surround,محاصره کردن / احاطه کرن,سِرَُند,,
163,specifically,به ویژه / مخصوصا,اِس پی سیفیک لی,,
164,pour,ریختن (ریختن مایع ...),,,
165,busy,مشغول,,,
166,make,ساختن,,,
167,independent,مستقل,,,
168,bar,بار,,,
169,lesson,درس,,,
170,critic,منتقد,کِر تیک,مسعود فراستی,
171,family,خانواده,,,
172,course,دوره / مسیر,,,
173,admit,پذیرفتن,,,
174,office,دفتر,,,
175,coach,مربی,,,
176,prove,ثابت کردن,,,
177,learn,یاد گرفتن,,,
178,cool,سرد,,,
179,crew,خدمه (کارکنان بخشی ...),کرو,,
180,support,پشتیبانی کردن,,,
181,attention,توجه,,,
182,brother,برادر,,,
183,gray,خاکستری,,,
184,accept,پذیرفتن ,,,
185,practise,تمرین کردن / مشق,,,
186,background, پس زمینه,,,
187,center,مرکز,,,
188,enjoy,لذت بردن,,,
189,date,تاریخ,,,
190,mouth,دهان,,,
191,meet,ملاقات کردن,,,
192,mind,ذهن / فکر ,,,
193,range,محدوده,,,
